episode,step,action,difficulty,ability,engagement,response_time,correct,reward,prob_correct,seed,method
1,0,0,0.0,1.2964854430503476,0.9203514556949652,1.6232427215251737,1.0,0.8106763712997683,0.7766908816664,1,random
1,1,2,2.0,1.2764854430503476,0.848,1.3517572784748262,0.0,0.18765696203356508,0.33103346644392856,1,random
1,2,0,0.0,1.3264854430503477,0.7653514556949652,1.6382427215251738,1.0,0.7906763712997683,0.7818509272222398,1,random
1,3,1,1.0,1.3764854430503477,0.7777029113899305,1.1632427215251737,1.0,1.4240097046331015,0.5809039860823796,1,random
1,4,0,0.0,1.3564854430503477,0.6420543670848957,1.6882427215251739,0.0,-0.24099029536689842,0.7984259538224092,1,random
1,5,1,1.0,1.4064854430503477,0.651405822779861,1.1782427215251738,1.0,1.4040097046331017,0.5881893934811363,1,random
1,6,1,1.0,1.4564854430503478,0.6557572784748263,1.2032427215251738,1.0,1.3706763712997683,0.600244855381431,1,random
1,7,1,1.0,1.5064854430503478,0.6551087341697917,1.2282427215251739,1.0,1.3373430379664346,0.6121800951062233,1,random
1,8,2,2.0,1.4864854430503478,0.6037572784748264,1.246757278474826,0.0,0.32765696203356526,0.3790659780491318,1,random
1,9,1,1.0,1.5364854430503478,0.6001087341697917,1.2432427215251738,1.0,1.3173430379664348,0.6192781437552431,1,random
1,10,0,0.0,1.5864854430503479,0.49146018986475687,1.768242721525174,1.0,0.6173430379664346,0.8229532311104044,1,random
1,11,0,0.0,1.636485443050348,0.3778116455597221,1.793242721525174,1.0,0.5840097046331013,0.8301210548105846,1,random
1,12,1,1.0,1.686485443050348,0.35916310125468726,1.318242721525174,1.0,1.2173430379664347,0.6539585586845919,1,random
1,13,0,0.0,1.736485443050348,0.23551455694965245,1.8432427215251739,1.0,0.5173430379664347,0.8437614020826958,1,random
1,14,1,1.0,1.786485443050348,0.20686601264461763,1.368242721525174,1.0,1.1506763712997679,0.6762268418172894,1,random
1,15,1,1.0,1.836485443050348,0.1732174683395828,1.3932427215251741,1.0,1.1173430379664346,0.6870761893294931,1,random
1,16,2,2.0,1.8864854430503482,0.21186601264461763,1.081757278474826,1.0,1.5826569620335653,0.4592121989461491,1,random
1,17,0,0.0,1.9364854430503482,0.0682174683395828,1.943242721525174,1.0,0.38400970463310125,0.8683542834238217,1,random
1,18,2,2.0,1.9164854430503482,0.05986601264461761,1.031757278474826,0.0,0.614323628700232,0.4841266966102127,1,random
1,19,1,1.0,1.9664854430503482,0.013217468339582782,1.458242721525174,1.0,1.030676371299768,0.7143254496024127,1,random
2,0,1,1.0,1.3682191443194622,0.9631780855680537,1.1941095721597312,0.0,0.41785390378702514,0.5958539211393057,1,random
